id,command,category,short_definition,description,syntax,example,example_explanation,common_options,related_commands,safety_level,distribution,created_at,updated_at
73,traceroute,Networking,Print the route packets take to network host,Traces packet hop route across network routers towards destination IP.,traceroute [options] host [packetlen],traceroute -n 1.1.1.1,Traces network path hops to 1.1.1.1 showing raw IP addresses.,-n (do not resolve IP addresses to hostnames)\n-m max_ttl (maximum number of hops)\n-T (use TCP SYN for probes),"tracepath, mtr, ping",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
74,nmap,Networking,Network exploration tool and security / port scanner,"Audits network security by scanning remote hosts for open ports, running services, and OS signatures.",nmap [Scan Type...] [Options] {target specification},"nmap -sV -p 80,443,8080 192.168.1.1","Scans target IP for service versions on web ports 80, 443, and 8080.",-sS (TCP SYN stealth scan)\n-sV (service/version detection)\n-O (OS fingerprinting)\n-p ports (scan specified ports),"nc, masscan, ss",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
75,nc,Networking,Arbitrary TCP and UDP connections and listens (Netcat),"Swiss army knife of networking used to read, write, listen, and proxy network socket connections.",nc [options] [hostname] [port[s]],nc -zv 192.168.1.50 22-80,Scans remote host to check if ports 22 through 80 are accepting connections.,-l (listen mode for inbound connections)\n-p port (source port)\n-z (zero-I/O mode for port scanning)\n-v (verbose output),"nmap, socat, telnet",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
76,ssh,Remote Access,OpenSSH SSH client (remote login program),Connects securely to remote server shell over encrypted SSH tunnel.,ssh [options] [user@]hostname [command],ssh -i ~/.ssh/id_rsa -p 2222 admin@remote.server.com,Connects to remote server on port 2222 using private RSA key authentication.,-i identity_file (private key file)\n-p port (remote port number)\n-L local:host:remote (local port forwarding)\n-X (enable X11 forwarding),"scp, sftp, mosh",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
77,scp,Remote Access,Secure file copy over SSH,Copies files between local and remote hosts securely using SSH protocol.,scp [options] [[user@]host1:]file1 [[user@]host2:]file2,scp -P 2222 -r ./dist/ user@remote:/var/www/app/,Uploads build folder dist to remote web root directory.,-P port (SSH port number)\n-r (recursively copy directories)\n-C (enable compression)\n-i key (identity key file),"rsync, sftp, ssh",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
78,rsync,Remote Access,"Fast, versatile, remote and local file-synchronization tool",Synchronizes files incrementally between paths or remote servers sending only delta differences.,rsync [OPTION...] SRC... [DEST],"rsync -avz --delete -e ""ssh -p 2222"" ./src/ user@server:/app/src/",Synchronizes local src directory with remote server deleting obsolete target files.,-a (archive mode preserves permissions/times/symlinks)\n-v (verbose output)\n-z (compress file data during transfer)\n-P (show progress bar during transfer)\n--delete (delete files in dest not in src),"scp, cp, rdiff",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
79,sftp,Remote Access,Secure File Transfer Program over SSH,Interactive file transfer utility operating over an encrypted SSH transport stream.,sftp [options] [user@]host,sftp user@fileserver.com,Opens interactive SFTP session for uploading/downloading files.,-P port (specify SSH port)\n-b batchfile (execute non-interactive batch commands),"scp, ssh, ftptop",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
80,ssh-keygen,Remote Access,"Authentication key generation, management and conversion","Generates, manages, and converts public/private authentication key pairs for SSH.",ssh-keygen [options],"ssh-keygen -t ed25519 -C ""admin@company.com""",Generates high-security Ed25519 SSH keypair with user comment.,-t type (key algorithm dsa/rsa/ecdsa/ed25519)\n-b bits (key bit length)\n-f filename (output key file path)\n-N passphrase (set key password),"ssh, ssh-copy-id",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
81,ssh-copy-id,Remote Access,Install public key on a remote machine authorized_keys,Appends local public SSH key to remote host ~/.ssh/authorized_keys file for passwordless login.,ssh-copy-id [-i [identity_file]] [user@]machine,ssh-copy-id -i ~/.ssh/id_ed25519.pub user@remote.host,Installs public key onto remote host enabling key-based authentication.,-i identity_file (path to public key file)\n-p port (remote SSH port),"ssh, ssh-keygen",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
82,tar,Archives,An archiving utility,"Bundles multiple files and directories into a single tape archive (.tar) with optional compression (.gz, .bz2, .xz).",tar [OPTION...] [FILE]...,tar -czvf backup-2026.tar.gz /home/user/documents,Creates a gzip-compressed archive of documents directory.,-c (create new archive)\n-x (extract archive)\n-v (verbose file output)\n-f file (archive filename)\n-z (filter through gzip)\n-j (filter through bzip2)\n-J (filter through xz),"gzip, zip, 7z",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
83,gzip,Archives,Compress or expand files,Compresses files using Lempel-Ziv coding (LZ77) creating .gz archives.,gzip [OPTION]... [FILE]...,gzip -9 -k database.sql,Compresses database dump file using maximum compression level retaining original file.,-d (decompress archive)\n-k (keep original input file)\n-9 (maximum compression level)\n-r (recursive directory compression),"gunzip, tar, bzip2",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
84,gunzip,Archives,Decompress files compressed by gzip,Extracts and restores files compressed into .gz archive format.,gunzip [OPTION]... [FILE]...,gunzip data.csv.gz,Decompresses data.csv.gz restoring original data.csv file.,-k (keep compressed .gz file)\n-f (force overwrite existing target),"gzip, tar, zcat",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
85,zip,Archives,Package and compress files,Creates cross-platform compressed ZIP archives compatible with Windows/macOS/Linux.,zip [options] zipfile files_to_zip,zip -r -e project.zip ./src,Recursively compresses src folder into password-encrypted ZIP archive.,-r (recurse into directories)\n-e (encrypt archive with password)\n-q (quiet mode)\n-9 (best compression level),"unzip, tar, 7z",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
86,unzip,Archives,"List, test and extract compressed files in a ZIP archive",Extracts packed files from ZIP archives.,unzip [options] file[.zip] [file(s)...] [-d exdir],unzip -q archive.zip -d /tmp/extracted,Extracts archive contents silently into target directory /tmp/extracted.,-q (quiet execution)\n-d dir (output destination directory)\n-l (list archive contents without extraction)\n-o (overwrite files without prompting),"zip, tar, 7z",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
87,xz,Archives,Compress or decompress .xz files,High compression ratio data compressor utilizing LZMA/LZMA2 algorithm.,xz [OPTION]... [FILE]...,xz -T0 -k large_file.iso,Compresses ISO file using all available CPU threads.,-d (decompress)\n-k (keep original input file)\n-T threads (number of CPU threads)\n-9 (ultra high compression),"tar, gzip, bzip2",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
88,chmod,Permissions,Change file mode bits (permissions),"Modifies read, write, and execute permissions for user owner, group, and others.","chmod [OPTION]... MODE[,MODE]... FILE...",chmod -R 755 /var/www/html,Sets read/write/execute for owner and read/execute for group/others across web directory.,"-R (recursive permission change)\n-v (verbose mode)\nNumeric mode (e.g. 777, 644, 755)\nSymbolic mode (u+x, g-w, o=r)","chown, chgrp, umask",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
89,chown,Permissions,Change file owner and group,Changes file user ownership and group ownership attributes.,chown [OPTION]... [OWNER][:[GROUP]] FILE...,chown -R www-data:www-data /var/www/app,Changes ownership of web app directory to user www-data and group www-data.,-R (recursive operation)\n-h (affect symbolic links directly)\n-v (verbose output),"chmod, chgrp, stat",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
90,chgrp,Permissions,Change group ownership,Changes the group ownership of target files or directories.,chgrp [OPTION]... GROUP FILE...,chgrp -R developers /opt/project,Sets group ownership of project directory to developers group.,-R (recursive operation)\n-v (verbose output),"chown, chmod",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
91,sudo,Permissions,Execute a command as another user or superuser,Allows authorized users to execute commands with administrative (root) privileges defined in /etc/sudoers.,sudo [-u user] command,sudo systemctl restart nginx,Restarts Nginx web service using elevated root privileges.,-i (simulate initial login shell as root)\n-u user (run command as specified user)\n-k (invalidate cached user password credentials),"su, visudo, pkexec",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
92,su,Permissions,Change user ID or become superuser,Switches active shell session user identity to root or another specified user account.,su [options] [username],su - postgres,Switches to postgres user account with a clean login shell environment.,- (provide login shell resetting environment)\n-c command (pass command string to target shell),"sudo, useradd",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
93,umask,Permissions,Set default file creation permissions mask,Displays or sets automated permission bit mask subtracted when creating new files and directories.,umask [-p] [-S] [mode],umask 0022,Sets default file mask ensuring new files get 644 and directories 755 permissions.,"-S (symbolic output format u=rwx,g=rx,o=rx)","chmod, touch, mkdir",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
94,uname,System Information,Print system information,"Prints system architecture, kernel version, hostname, and OS release information.",uname [OPTION]...,uname -a,"Outputs complete system details: Linux kernel version, machine architecture, build date.",-a (print all system details)\n-r (print kernel release)\n-m (print machine hardware architecture)\n-o (print operating system name),"hostnamectl, lsb_release, arch",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
95,hostname,System Information,Show or set the system's host name,Displays or configures the network hostname of the current system.,hostname [options] [new_hostname],hostname -I,Displays all network IP addresses assigned to system host.,-I (display all network host addresses)\n-f (display fully qualified domain name FQDN)\n-d (display domain name),"hostnamectl, uname",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
96,uptime,System Information,Tell how long the system has been running,"Outputs system uptime duration, count of logged in users, and 1, 5, 15 minute CPU load averages.",uptime [options],uptime -p,Displays system uptime duration in a friendly readable format.,-p (pretty format uptime)\n-s (since when system has been booted),"top, w, who",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
97,free,System Information,Display amount of free and used memory in the system,"Reports total, used, available, and swap physical RAM memory capacities.",free [options],free -h -t,Displays memory statistics in human-readable units with total aggregate row.,-h (human-readable format GB/MB)\n-m (show memory in MB)\n-g (show memory in GB)\n-t (display total memory summary line),"vmstat, top, htop",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
98,lscpu,System Information,Display information about the CPU architecture,"Gathers CPU architecture details from sysfs and /proc/cpuinfo (cores, threads, sockets, NUMA nodes, cache).",lscpu [options],lscpu,Displays detailed breakdown of system processor architecture and features.,-e (extended readable CPU format)\n-J (output in JSON format),"nproc, lshw, top",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
99,lsusb,System Information,List USB devices,Inspects attached USB buses and connected device hardware details.,lsusb [options],lsusb -v -d 05ac:,Displays verbose details for connected Apple USB devices.,-v (verbose output)\n-t (dump physical USB device hierarchy tree)\n-d vendor:product (filter by device IDs),"lspci, lshw, dmesg",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
100,lspci,System Information,List all PCI devices,"Lists hardware controllers and expansion cards connected to PCI/PCIe bus (GPU, NVMe controllers, WiFi cards).",lspci [options],lspci -nnk | grep -A 3 VGA,Displays graphics card hardware model alongside bound kernel drivers.,-nn (show numerical vendor and device codes)\n-k (show kernel drivers handling device)\n-v (verbose output),"lsusb, lshw, dmesg",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
101,systemctl,System Services,Control the systemd system and service manager,"Primary utility for managing systemd services, targets, sockets, and system state.",systemctl [OPTIONS...] COMMAND [NAME...],systemctl status nginx.service,Checks active running state and recent logs of Nginx service.,start / stop / restart / reload\nenable (enable service at boot)\ndisable (disable boot autostart)\nis-active / is-enabled,"service, journalctl, init",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
102,journalctl,System Services,Query the systemd journal logs,"Fetches, filters, and streams log messages indexed by systemd journald daemon.",journalctl [OPTIONS...] [MATCHES...],journalctl -u docker.service -f -n 50,Follows Docker service log output streaming last 50 entries.,"-u service (filter by systemd unit)\n-f (follow live log stream)\n-n lines (number of journal entries)\n-b (logs from current boot only)\n--since ""1 hour ago""","systemctl, dmesg, tail",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
103,cron,System Services,Daemon to execute scheduled commands,Background daemon responsible for triggering periodic cron jobs configured in crontabs.,cron [-f] [-l] [-L loglevel],cron,Runs main cron scheduling service.,-f (run daemon in foreground mode),"crontab, at, systemctl",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
104,crontab,System Services,Maintain crontab files for individual users,Schedules automated recurring background tasks using cron timetable syntax.,crontab [-u user] file or crontab [-u user] [-e | -l | -r],crontab -e,Opens interactive editor to configure user recurring cron jobs.,-e (edit active crontab file)\n-l (list active user crontab jobs)\n-r (remove active crontab file)\n-u user (manage crontab for specified user),"cron, at, systemd-run",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
105,whoami,Users,Print effective user name,Outputs the username associated with the active effective user ID.,whoami,whoami,"Prints current logged-in username (e.g., root or apple).",--help (display help manual),"id, who, w",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
106,id,Users,Print real and effective user and group IDs,"Outputs user ID (UID), primary group ID (GID), and secondary group memberships for specified user.",id [OPTION]... [USER],id www-data,Displays UID and group IDs assigned to www-data account.,-u (print only effective user ID)\n-g (print only primary group ID)\n-G (print all secondary group IDs)\n-n (print names instead of numbers),"whoami, groups, useradd",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
107,w,Users,Show who is logged on and what they are doing,"Displays active logged-in user sessions, login times, IP origins, and running shell commands.",w [options] user,w,Prints active terminal session list with CPU load stats.,-h (do not print header)\n-s (short format output),"who, uptime, ps",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
108,useradd,Users,Create a new user or update default new user information,Low-level utility to create new system user account records.,useradd [options] LOGIN,useradd -m -s /bin/bash -g developers devuser,Creates user devuser with home directory and default bash shell.,-m (create user home directory)\n-s shell (specify default login shell)\n-g group (primary group)\n-G groups (supplementary groups list),"adduser, usermod, userdel, passwd",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
109,usermod,Users,Modify a user account,"Updates existing user account properties like group membership, home directory, and shell.",usermod [options] LOGIN,usermod -aG docker devuser,Appends user devuser to supplementary group docker.,-aG groups (append supplementary groups)\n-s shell (change default login shell)\n-L (lock user password)\n-U (unlock user account),"useradd, userdel, groupadd",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
110,passwd,Users,Change user password,Updates account authentication passwords in /etc/shadow.,passwd [options] [LOGIN],passwd devuser,Prompts for new password for user devuser.,-l (lock user password)\n-u (unlock user password)\n-e (expire password forcing user change at next login),"useradd, shadow",caution,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
111,apt,Package Management,Command-line package manager for Debian/Ubuntu,"High-level interface for installing, updating, searching, and removing software packages on Debian/Ubuntu systems.",apt [options] command,sudo apt update && sudo apt install -y build-essential,Updates package index repositories and installs C/C++ compilation tools.,update (fetch latest package lists)\nupgrade (upgrade all installed packages)\ninstall pkg (install package)\nremove pkg (remove package)\nsearch query (search repository packages),"dpkg, apt-get, snap",caution,"Debian, Ubuntu, Linux Mint",2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
112,dpkg,Package Management,Debian package manager,Low-level Debian software package tool for installing and inspecting local .deb binary files.,dpkg [option...] action,dpkg -i google-chrome-stable.deb,Installs downloaded Google Chrome Debian package file.,-i file.deb (install package)\n-r pkg (remove package)\n-l pattern (list installed packages matching pattern)\n-L pkg (list files installed by package),"apt, apt-get",caution,"Debian, Ubuntu, Linux Mint",2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
113,pacman,Package Management,Arch Linux package manager utility,Fast package manager for Arch Linux handling dependency resolution and package building.,pacman <operation> [options] [targets],sudo pacman -Syu neovim,"Synchronizes package databases, upgrades system, and installs neovim editor.",-Syu (sync repos and upgrade system)\n-Ss pattern (search package repos)\n-R pkg (remove package)\n-Q (query installed packages),"yay, paru, makepkg",caution,"Arch Linux, Manjaro, EndeavourOS",2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
114,dnf,Package Management,Next-generation Fedora package manager,"Package manager for Fedora, RHEL, and CentOS managing RPM packages.",dnf [options] COMMAND,sudo dnf install -y postgresql-server,Installs PostgreSQL database server on Fedora/RHEL system.,install pkg (install package)\nupdate / upgrade (upgrade packages)\nsearch query (search packages)\nremove pkg (uninstall package),"rpm, yum, flatpak",caution,"Fedora, RHEL, Rocky Linux, AlmaLinux",2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
115,gcc,Development,GNU Compiler Collection for C/C++,Compiles and links C/C++ source code files into executable binary programs.,gcc [option...] infile...,gcc -O2 -Wall main.c -o app,Compiles main.c with optimization level 2 and warnings enabled producing app binary.,-O2 / -O3 (optimization level)\n-Wall (enable all compiler warnings)\n-g (generate debug symbols for gdb)\n-o outfile (output binary path),"g++, make, gdb, clang",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
116,git,Development,Distributed version control system,"Tracks source code changes, manages branches, and handles distributed repository operations.",git [--version] [--exec-path[=<path>]] [options] <command> [<args>],git log --oneline -n 10,Displays last 10 repository commits in single-line summary format.,status / add / commit / push / pull / checkout / branch / log / diff / clone / merge,"svn, hg, gh",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
117,make,Development,GNU make utility to maintain groups of programs,Automates compilation of source code targets guided by Makefiles.,make [options] [target] ...,make -j4 build,"Runs Makefile target ""build"" executing 4 parallel compilation jobs.",-j jobs (number of parallel build jobs)\n-f file (use specified Makefile path)\n-C dir (change to directory before reading Makefile),"cmake, gcc, ninja",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
118,vim,Editors,Vi IMproved - text editor,Highly configurable terminal-based modal text editor designed for fast code editing.,vim [OPTION] [file]...,vim +25 src/index.js,Opens index.js directly positioned at line 25.,-R (read-only mode)\n-b (binary mode)\n+line (jump to line number on open),"nano, emacs, vi, neovim",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
119,nano,Editors,Simple command line text editor,"Easy-to-use, beginner-friendly terminal text editor with visible shortcut keys.","nano [OPTIONS] [[+line[,column]] file]...",nano -m /etc/hosts,Opens /etc/hosts file with mouse support enabled.,-m (enable mouse support)\n-B (create backup copies on edit)\n-N (enable line numbers),"vim, micro, pico",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
120,openssl,Security,OpenSSL command line tool for cryptography,"Cryptography toolkit for SSL/TLS certificates generation, encryption algorithms, and key management.",openssl command [ command_opts ] [ command_args ],openssl x509 -in cert.crt -text -noout,Decodes and displays SSL certificate expiration dates and Subject fields.,req (generate certificate signing request CSR)\nx509 (manage certificates)\nrand -hex n (generate random bytes)\nenc (encrypt/decrypt data),"gpg, certbot",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
121,gpg,Security,OpenPGP encryption and signing tool,"Encrypts files, verifies cryptographic signatures, and manages PGP keyrings.",gpg [options] command [args],gpg --symmetric --cipher-algo AES256 secret.txt,Encrypts secret.txt with password using AES256 cipher producing secret.txt.gpg.,-c / --symmetric (encrypt with passphrase)\n-d (decrypt file)\n-k (list keys)\n--import file (import PGP key),"openssl, md5sum",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
122,sha256sum,Checksums,Compute and check SHA256 message digest,Computes SHA-256 cryptographic hash digest of input files to verify integrity.,sha256sum [OPTION]... [FILE]...,sha256sum -c ubuntu.iso.sha256,Verifies SHA256 checksum of ISO image against hash file.,-c (check checksums against file)\n-b (read files in binary mode)\n-t (read files in text mode),"md5sum, sha1sum, shasum",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
123,md5sum,Checksums,Compute and check MD5 message digest,Computes 128-bit MD5 checksum hash for file integrity validation.,md5sum [OPTION]... [FILE]...,md5sum release.zip,Outputs 32-character hexadecimal MD5 hash of release.zip.,-c (check checksum file)\n-b (read binary files),"sha256sum, cksum",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
124,date,Date and Time,Display or set system date and time,Displays current date and time in custom formats or sets system clock.,date [OPTION]... [+FORMAT],"date +""%Y-%m-%d %H:%M:%S""",Outputs formatted timestamp string (e.g. 2026-09-20 20:30:00).,"+FORMAT (custom format string specifiers %Y, %m, %d, %H, %M, %S, %s epoch)\n-u (display UTC time)\n-d string (parse custom date string)","cal, timedatectl, hwclock",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
125,cal,Date and Time,Display a calendar,Displays a formatted monthly or yearly calendar grid in the terminal.,cal [options] [[[day] month] year],cal -3 9 2026,"Displays calendar grid for previous, current, and next month around September 2026.",-3 (display 3 months)\n-y (display full current year calendar)\n-j (display julian days),"date, ncal",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
126,sleep,Date and Time,Delay for a specified amount of time,"Pauses execution for a specified duration in seconds, minutes, hours, or days.",sleep NUMBER[SUFFIX]...,"sleep 5s && echo ""Done!""",Pauses execution for 5 seconds before printing message.,s (seconds)\nm (minutes)\nh (hours)\nd (days),"timeout, usleep, cron",safe,All Major Linux Distributions,2026-09-20 21:00:36.821492,2026-09-20 21:00:36.821492
